pac,sho,pas,dri,def,crossing,finishing,short_passing,dribbling,long_passing,ball_control,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_reflexes,name,Position
90,93,82,90,33,85,94,83,91,77,93,31,23,7,11,11,"Cristiano Ronaldo",Attacker
89,90,86,96,26,77,95,88,97,87,95,28,26,6,11,8,"L. Messi",Attacker
92,84,79,95,30,75,89,81,96,75,95,24,33,9,9,11,Neymar,Attacker
82,90,79,87,42,77,94,83,86,64,91,45,38,27,25,37,"L. Suárez",Attacker
91,90,95,89,60,15,13,55,30,59,48,10,11,91,90,89,"M. Neuer",Keeper
81,88,75,86,38,62,91,83,85,65,89,42,19,15,6,10,"R. Lewandowski",Attacker
90,85,87,90,58,17,13,50,18,51,42,21,13,90,85,90,"De Gea",Keeper
90,82,84,92,32,80,83,86,93,81,92,27,22,11,12,8,"E. Hazard",Attacker
56,81,89,81,73,85,76,90,79,93,89,82,69,10,11,10,"T. Kroos",Midfielder
79,87,70,83,25,68,91,75,84,59,85,22,18,5,12,10,"G. Higuaín",Attacker
76,63,71,71,88,66,60,78,61,72,84,89,91,11,8,11,"Sergio Ramos",Defender
75,84,88,85,45,90,83,90,85,84,87,51,40,15,13,13,"K. De Bruyne",Midfielder
85,91,69,88,49,14,14,32,13,31,23,18,16,85,91,88,"T. Courtois",Keeper
86,84,80,89,40,80,85,81,90,73,87,39,35,10,10,13,"A. Sánchez",Attacker
73,75,86,89,72,78,71,92,86,83,92,80,73,13,9,9,"L. Modrić",Midfielder
94,87,84,85,57,87,87,85,87,80,86,55,52,15,15,6,"G. Bale",Attacker
87,88,75,89,23,70,90,79,89,63,89,20,12,13,15,14,"S. Agüero",Attacker
74,46,56,59,90,58,33,59,58,59,57,92,90,3,3,3,"G. Chiellini",Defender
89,88,74,84,46,13,15,37,26,35,28,11,11,89,88,84,"G. Buffon",Keeper
86,85,81,91,24,80,85,83,92,71,93,20,20,5,4,8,"P. Dybala",Attacker
84,90,77,84,52,13,11,29,12,26,16,12,18,84,90,84,"J. Oblak",Keeper
86,85,78,87,30,82,88,79,87,75,86,22,11,14,8,14,"A. Griezmann",Attacker
72,75,85,90,62,72,69,91,90,90,92,64,62,6,11,13,Thiago,Midfielder
96,84,75,81,37,77,88,77,82,64,82,25,36,6,9,9,"P. Aubameyang",Attacker
68,54,70,70,87,44,39,79,69,85,75,88,88,2,2,4,"L. Bonucci",Defender
75,50,72,67,88,69,34,75,67,80,71,91,90,7,12,5,"J. Boateng",Defender
67,48,65,63,88,55,42,79,53,70,76,86,89,6,8,15,"D. Godín",Defender
64,58,75,71,89,64,55,80,68,85,77,92,90,15,6,6,"M. Hummels",Defender
71,74,87,86,24,82,74,89,86,84,90,16,19,6,14,14,"M. Özil",Midfielder
88,86,68,90,64,13,10,50,10,50,34,10,18,88,86,90,"H. Lloris",Keeper
72,56,73,73,89,60,38,79,68,81,80,89,88,9,12,10,"Thiago Silva",Defender
65,88,81,82,32,76,87,84,82,76,88,41,27,13,15,12,"Z. Ibrahimović",Attacker
86,86,81,91,32,80,85,84,92,71,89,26,26,10,8,15,"A. Robben",Attacker
81,66,75,79,81,67,65,84,77,79,79,89,85,15,12,10,"N. Kanté",Midfielder
65,59,84,89,79,72,58,90,90,89,88,84,79,12,12,10,"M. Verratti",Midfielder
74,79,84,85,68,78,71,86,86,88,89,68,66,5,6,3,"P. Pogba",Midfielder
75,78,88,84,47,86,76,89,84,86,87,56,22,9,14,6,"C. Eriksen",Midfielder
75,81,80,79,83,76,77,84,76,82,83,89,85,4,2,4,"A. Vidal",Midfielder
77,83,72,80,42,70,83,78,80,50,80,45,27,12,5,10,"E. Cavani",Attacker
78,69,80,86,83,90,67,82,86,76,88,85,87,12,5,9,Marcelo,Defender
74,80,84,84,68,78,78,88,86,82,87,73,62,8,6,14,"M. Hamšík",Midfielder
65,84,86,83,60,81,83,87,84,92,87,65,53,14,11,9,"I. Rakitić",Midfielder
68,72,87,87,38,83,71,91,84,79,90,44,29,1,1,1,"David Silva",Midfielder
87,86,69,87,56,12,10,36,18,34,24,10,13,87,86,87,"S. Handanovič",Keeper
65,61,69,65,86,57,64,81,59,80,78,87,86,10,11,8,Piqué,Defender
71,70,87,90,58,77,70,92,90,86,94,57,56,6,13,7,Iniesta,Midfielder
73,87,72,78,42,70,90,75,78,67,82,36,38,8,10,11,"H. Kane",Attacker
76,85,85,83,40,88,82,84,83,80,85,42,30,15,15,14,"J. Rodríguez",Midfielder
71,83,82,89,54,72,88,86,90,85,91,73,51,10,8,6,Isco,Midfielder
86,73,81,80,82,82,63,83,79,80,83,83,83,5,7,9,"D. Alaba",Defender
83,85,70,74,34,68,89,71,78,68,75,30,30,8,15,10,"R. Lukaku",Attacker
86,65,77,81,81,86,55,81,82,71,81,84,84,7,7,5,"Alex Sandro",Defender
77,82,77,78,46,77,87,81,75,68,82,41,44,6,7,14,"T. Müller",Attacker
40,59,79,74,82,62,60,88,74,79,80,85,80,5,8,13,"Sergio Busquets",Midfielder
82,78,83,88,35,77,74,85,88,78,88,44,40,12,7,6,Coutinho,Attacker
88,87,84,86,39,80,86,86,86,80,85,36,46,12,12,11,"M. Reus",Attacker
66,58,72,65,87,64,45,77,62,81,70,90,85,16,6,14,"T. Alderweireld",Defender
70,64,74,71,84,68,55,79,66,78,79,85,84,11,12,14,"David Luiz",Defender
75,83,65,76,40,65,88,67,77,52,83,39,34,11,13,11,"Diego Costa",Attacker
78,80,78,82,81,73,76,84,80,81,85,86,88,11,11,11,"R. Nainggolan",Midfielder
